Group,Program,Total_ 1940,Direct_ 1940,Grants_ 1940,Total_1941,Direct_1941,Grants_1941,Total_ 1942,Direct_ 1942,Grants_ 1942,Total_ 1943,Direct_ 1943,Grants_ 1943,Total_ 1944,Direct_ 1944,Grants_ 1944,Total_1945,Direct_1945,Grants_1945,Total_1946,Direct_1946,Grants_1946,Total_1947,Direct_1947,Grants_1947,Total_1948,Direct_1948,Grants_1948,Total_1949,Direct_1949,Grants_1949,Total_1950,Direct_1950,Grants_1950,Total_1951,Direct_1951,Grants_1951,Total_1952,Direct_1952,Grants_1952,Total_1953,Direct_1953,Grants_1953,Total_1954,Direct_1954,Grants_1954,Total_1955,Direct_1955,Grants_1955,Total_1956,Direct_1956,Grants_1956,Total_1957,Direct_1957,Grants_1957,Total_1958,Direct_1958,Grants_1958,Total_1959,Direct_1959,Grants_1959,Total_1960,Direct_1960,Grants_1960,Total_1961,Direct_1961,Grants_1961,Total_1962,Direct_1962,Grants_1962,Total_1963,Direct_1963,Grants_1963,Total_1964,Direct_1964,Grants_1964,Total_1965,Direct_1965,Grants_1965,Total_1966,Direct_1966,Grants_1966,Total_1967,Direct_1967,Grants_1967,Total_1968,Direct_1968,Grants_1968,Total_1969,Direct_1969,Grants_1969,Total_1970,Direct_1970,Grants_1970,Total_1971,Direct_1971,Grants_1971,Total_1972,Direct_1972,Grants_1972,Total_1973,Direct_1973,Grants_1973,Total_1974,Direct_1974,Grants_1974,Total_1975,Direct_1975,Grants_1975,Total_1976,Direct_1976,Grants_1976,Total_TQ,Direct_TQ,Grants_TQ,Total_1977,Direct_1977,Grants_1977,Total_1978,Direct_1978,Grants_1978,Total_1979,Direct_1979,Grants_1979,Total_1980,Direct_1980,Grants_1980,Total_1981,Direct_1981,Grants_1981,Total_1982,Direct_1982,Grants_1982,Total_1983,Direct_1983,Grants_1983,Total_1984,Direct_1984,Grants_1984,Total_1985,Direct_1985,Grants_1985,Total_1986,Direct_1986,Grants_1986,Total_1987,Direct_1987,Grants_1987,Total_1988,Direct_1988,Grants_1988,Total_1989,Direct_1989,Grants_1989,Total_v,Direct_1990,Grants_1990,Total_1991,Direct_1991,Grants_1991,Total_1992,Direct_1992,Grants_1992,Total_1993,Direct_1993,Grants_1993,Total_1994,Direct_1994,Grants_1994,Total_1995,Direct_1995,Grants_1995,Total_1996,Direct_1996,Grants_1996,Total_1997,Direct_1997,Grants_1997,Total_1998,Direct_1998,Grants_1998,Total_1999,Direct_1999,Grants_1999,Total_2000,Direct_2000,Grants_2000,Total_2001,Direct_2001,Grants_2001,Total_2002,Direct_2002,Grants_2002,Total_2003,Direct_2003,Grants_2003,Total_2004,Direct_2004,Grants_2004,Total_2005,Direct_2005,Grants_2005,Total_2006,Direct_2006,Grants_2006,Total_2007,Direct_2007,Grants_2007,Total_2008,Direct_2008,Grants_2008,Total_2009,Direct_2009,Grants_2009,Total_2010,Direct_2010,Grants_2010,Total_2011,Direct_2011,Grants_2011,Total_2012,Direct_2012,Grants_2012,Total_2013,Direct_2013,Grants_2013,Total_2014,Direct_2014,Grants_2014,Total_2015_estimate,Direct_2015_estimate,Grants_2015_estimate,Total_2016_estimate,Direct_2016_estimate,Grants_2016_estimate,Total_2017_estimate,Direct_2017_estimate,Grants_2017_estimate,Total_2018_estimate,Direct_2018_estimate,Grants_2018_estimate,Total_2019_estimate,Direct_2019_estimate,Grants_2019_estimate,Total_2020_estimate,Direct_2020_estimate,Grants_2020_estimate
Public assistance and related programs,Earned income tax credit,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,808,808,..........,86,86,..........,901,901,..........,881,881,..........,773,773,..........,"1,275","1,275",..........,"1,318","1,318",..........,"1,201","1,201",..........,"1,213","1,213",..........,"1,193","1,193",..........,"1,100","1,100",..........,"1,415","1,415",..........,"1,410","1,410",..........,"2,698","2,698",..........,"4,002","4,002",..........,"4,354","4,354",..........,"4,885","4,885",..........,"7,345","7,345",..........,"8,781","8,781",..........,"10,950","10,950",..........,"15,244","15,244",..........,"19,159","19,159",..........,"21,856","21,856",..........,"23,239","23,239",..........,"25,632","25,632",..........,"26,099","26,099",..........,"26,123","26,123",..........,"27,826","27,826",..........,"31,961","31,961",..........,"33,134","33,134",..........,"34,559","34,559",..........,"36,166","36,166",..........,"38,274","38,274",..........,"40,600","40,600",..........,"42,418","42,418",..........,"54,712","54,712",..........,"55,652","55,652",..........,"54,890","54,890",..........,"57,513","57,513",..........,"60,087","60,087",..........,"60,105","60,105",..........,"60,402","60,402",..........,"67,880","67,880",..........,"68,658","68,658",..........,"70,551","70,551",..........,"72,445","72,445",..........
Public assistance and related programs,Payments to States for daycare assistance,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,411,..........,411,786,..........,786,933,..........,933,933,..........,933,"2,307",..........,"2,307","3,122",2,"3,120","3,286",3,"3,283","3,307",5,"3,302","3,717",12,"3,705","4,539",14,"4,525","5,203",14,"5,189","4,833",7,"4,826","4,901",7,"4,894","5,252",7,"5,245","5,129",7,"5,122","4,983",6,"4,977","5,305",7,"5,298","5,859",7,"5,852","6,084",9,"6,075","5,028",9,"5,019","5,049",9,"5,040","5,064",9,"5,055","5,429",14,"5,415","8,696",21,"8,675","9,678",22,"9,656","10,486",22,"10,464","11,474",23,"11,451","12,525",23,"12,502"
Public assistance and related programs,Veterans non-service connected pensions,185,185,..........,186,186,..........,185,185,..........,191,191,..........,130,130,..........,235,235,..........,275,275,..........,332,332,..........,386,386,..........,424,424,..........,476,476,..........,520,520,..........,558,558,..........,660,660,..........,716,716,..........,800,800,..........,883,883,..........,950,950,..........,"1,036","1,036",..........,"1,153","1,153",..........,"1,263","1,263",..........,"1,532","1,532",..........,"1,635","1,635",..........,"1,698","1,698",..........,"1,743","1,743",..........,"1,864","1,864",..........,"1,910","1,910",..........,"1,893","1,893",..........,"2,048","2,048",..........,"2,149","2,149",..........,"2,255","2,255",..........,"2,330","2,330",..........,"2,531","2,531",..........,"2,565","2,565",..........,"2,530","2,530",..........,"2,739","2,739",..........,"2,859","2,859",..........,719,719,..........,"3,113","3,113",..........,"3,239","3,239",..........,"3,522","3,522",..........,"3,585","3,585",..........,"3,755","3,755",..........,"3,879","3,879",..........,"3,894","3,894",..........,"3,874","3,874",..........,"3,842","3,842",..........,"3,874","3,874",..........,"3,793","3,793",..........,"3,935","3,935",..........,"4,024","4,024",..........,"3,594","3,594",..........,"3,917","3,917",..........,"3,666","3,666",..........,"3,529","3,529",..........,"3,427","3,427",..........,"3,024","3,024",..........,"2,834","2,834",..........,"3,055","3,055",..........,"3,059","3,059",..........,"3,076","3,076",..........,"2,969","2,969",..........,"2,760","2,760",..........,"3,166","3,166",..........,"3,229","3,229",..........,"3,334","3,334",..........,"3,663","3,663",..........,"3,547","3,547",..........,"3,376","3,376",..........,"3,790","3,790",..........,"4,161","4,161",..........,"4,359","4,359",..........,"4,664","4,664",..........,"4,537","4,537",..........,"5,173","5,173",..........,"5,251","5,251",..........,"5,570","5,570",..........,"6,353","6,353",..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
Public assistance and related programs,Payments to States--Foster Care/Adoption Assist.,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,557,1,557,418,16,402,410,2,408,659,10,648,749,11,738,808,14,794,802,19,783,"1,004",16,988,"1,344",6,"1,338","1,579",..........,"1,579","2,120",..........,"2,120","2,505",..........,"2,505","2,636",..........,"2,636","3,030",..........,"3,030","3,243",-1,"3,244","3,691",..........,"3,691","4,047",..........,"4,047","4,451",..........,"4,451","4,707",..........,"4,707","5,453",..........,"5,453","5,711",1,"5,710","5,885",..........,"5,885","6,124",..........,"6,124","6,340",..........,"6,340","6,427",..........,"6,427","6,352",-1,"6,353","6,563",..........,"6,563","6,750",..........,"6,750","6,859",1,"6,858","6,972",..........,"6,972","6,860",1,"6,859","6,847",1,"6,846","6,770",..........,"6,770","6,868",1,"6,867","7,079",-1,"7,080","7,593",-1,"7,594","7,783",-1,"7,784","7,971",-1,"7,972","8,090",-1,"8,091","8,069",-1,"8,070"
Public assistance and related programs,Payment where child credit exceeds tax liability,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,445,445,..........,809,809,..........,982,982,..........,"5,060","5,060",..........,"6,435","6,435",..........,"8,857","8,857",..........,"14,624","14,624",..........,"15,473","15,473",..........,"16,159","16,159",..........,"34,019","34,019",..........,"24,284","24,284",..........,"22,659","22,659",..........,"22,691","22,691",..........,"22,106","22,106",..........,"21,608","21,608",..........,"21,490","21,490",..........,"21,511","21,511",..........,"22,434","22,434",..........,"23,336","23,336",..........,"23,446","23,446",..........,"23,524","23,524",..........,"23,561","23,561",..........
Public assistance and related programs,Refundable AMT credit,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,711,711,..........,"1,034","1,034",..........,458,458,..........,205,205,..........,169,169,..........,67,67,..........,45,45,..........,20,20,..........,5,5,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
Public assistance and related programs,Other public assistance,399,399,..........,415,415,..........,316,316,..........,106,106,..........,42,42,..........,48,48,..........,62,62,..........,59,59,..........,58,58,..........,46,46,..........,43,43,..........,42,42,..........,60,60,..........,38,38,..........,38,38,..........,26,26,..........,53,53,..........,64,64,..........,9,9,..........,10,10,..........,11,11,..........,14,14,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,3,3,..........,290,290,..........,69,69,..........,132,132,..........,153,153,..........,255,255,..........,320,320,..........,324,324,..........,259,259,..........,234,234,..........,271,271,..........,300,300,..........,305,305,..........,309,309,..........,306,306,..........,307,307,..........,291,291,..........,344,344,..........,329,329,..........,389,389,..........,375,375,..........,429,429,..........,282,282,..........,282,282,..........,286,284,2,298,298,..........,303,303,..........,319,319,..........,333,333,..........,337,337,..........,335,335,..........,374,331,43,404,327,77,405,349,56,"15,975","14,214","1,761","4,145","3,073","1,072","17,098","14,193","2,905","16,717","14,761","1,956","2,061","1,383",678,"1,210",511,699,"1,004",383,621,"1,043",413,630,"1,269",667,602,"1,698","1,121",577,"1,707","1,130",577,"1,713","1,136",577,"1,053",476,577
Public assistance and related programs,"Total, Public assistance and related programs",863,584,279,931,601,330,878,501,376,692,297,395,601,172,430,684,283,401,758,337,421,"1,035",391,644,"1,176",444,732,"1,391",470,921,"1,642",519,"1,123","1,748",562,"1,186","1,795",618,"1,178","2,028",698,"1,330","2,192",754,"1,438","2,253",827,"1,427","2,391",936,"1,455","2,571","1,014","1,556","2,840","1,046","1,795","3,130","1,163","1,966","3,333","1,275","2,059","3,690","1,546","2,144","3,964","1,635","2,329","4,271","1,698","2,572","4,477","1,743","2,734","4,651","1,864","2,787","4,668","1,910","2,758","4,613","1,893","2,720","5,215","2,048","3,166","5,767","2,149","3,618","6,397","2,255","4,142","7,816","2,330","5,486","9,089","2,531","6,559","8,487","2,565","5,922","9,907","4,437","5,470","12,183","6,952","5,231","14,379","8,464","5,916","3,645","2,033","1,611","15,378","8,878","6,500","16,386","9,538","6,848","16,210","9,400","6,810","19,783","11,291","8,492","22,377","11,988","10,389","22,298","12,244","10,054","24,030","13,277","10,753","24,509","13,031","11,478","26,010","13,964","12,046","27,648","14,931","12,717","28,616","15,464","13,152","31,663","18,325","13,337","33,739","19,842","13,897","34,872","19,733","15,139","41,196","23,814","17,382","47,330","28,580","18,751","52,784","33,042","19,743","60,902","38,453","22,450","65,110","42,381","22,729","67,724","45,363","22,361","73,349","50,703","22,646","77,001","52,841","24,160","82,382","56,299","26,083","88,465","59,845","28,620","89,664","55,799","33,865","100,859","65,929","34,930","109,053","72,570","36,483","111,648","77,051","34,597","123,419","88,621","34,798","125,195","89,985","35,210","126,448","91,095","35,353","168,761","130,795","37,966","156,154","116,180","39,974","183,245","140,982","42,263","188,562","147,955","40,607","163,772","127,319","36,453","172,505","135,291","37,214","175,245","138,787","36,458","177,492","140,503","36,989","190,613","149,146","41,467","193,023","150,147","42,876","191,987","147,792","44,195","200,816","155,502","45,314","204,725","158,299","46,426"
All other payments for individuals,Coal miners and black lung benefits,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,10,10,..........,319,318,1,418,418,*,952,952,..........,"1,000","1,000",*,968,968,..........,998,998,..........,240,240,..........,956,956,..........,"1,005","1,005",..........,"1,611","1,611",..........,"1,840","1,840",..........,"1,770","1,770",..........,"1,976","1,976",..........,"1,930","1,930",..........,"1,922","1,922",..........,"1,938","1,938",..........,"1,612","1,612",..........,"1,598","1,598",..........,"1,558","1,558",..........,"1,520","1,520",..........,"1,482","1,482",..........,"1,786","1,786",..........,"1,796","1,796",..........,"1,779","1,779",..........,"1,759","1,759",..........,"1,703","1,703",..........,"1,657","1,657",..........,"1,625","1,625",..........,"1,585","1,585",..........,"1,554","1,554",..........,"1,529","1,529",..........,"1,499","1,499",..........,"1,484","1,484",..........,"1,462","1,462",..........,"1,433","1,433",..........,"1,412","1,412",..........,"1,377","1,377",..........,"1,355","1,355",..........,"1,330","1,330",..........,"3,060","3,060",..........,517,517,..........,490,490,..........,464,464,..........,437,437,..........,426,426,..........,444,444,..........,431,431,..........,468,468,..........,508,508,..........,409,409,..........,439,439,..........
All other payments for individuals,Veterans insurance and burial benefits,76,76,..........,63,63,..........,46,46,..........,37,37,..........,65,65,..........,153,153,..........,330,330,..........,349,349,..........,377,377,..........,393,393,..........,"3,101","3,101",..........,691,691,..........,"1,088","1,088",..........,660,660,..........,769,769,..........,622,622,..........,599,599,..........,601,601,..........,664,664,..........,642,642,..........,665,665,..........,801,801,..........,768,768,..........,877,877,..........,735,735,..........,676,676,..........,599,599,..........,897,897,..........,691,691,..........,775,775,..........,848,848,..........,820,820,..........,887,887,..........,680,680,..........,819,819,..........,978,978,..........,869,869,..........,196,196,..........,933,933,..........,909,909,..........,"1,033","1,033",..........,"1,188","1,188",..........,"1,243","1,243",..........,"1,130","1,130",..........,"1,073","1,073",..........,"1,102","1,102",..........,"1,134","1,134",..........,"1,204","1,204",..........,"1,205","1,205",..........,"1,275","1,275",..........,"1,350","1,350",..........,"1,400","1,400",..........,"1,395","1,395",..........,"1,460","1,460",..........,"1,247","1,247",..........,"1,349","1,349",..........,"1,374","1,374",..........,"1,369","1,369",..........,"1,355","1,355",..........,"1,339","1,339",..........,"1,321","1,321",..........,"1,363","1,363",..........,"1,347","1,347",..........,"1,320","1,320",..........,"1,331","1,331",..........,"1,392","1,392",..........,"1,369","1,369",..........,"1,350","1,350",..........,"1,345","1,345",..........,"1,364","1,364",..........,"1,369","1,369",..........,"1,318","1,318",..........,"1,287","1,287",..........,"1,243","1,243",..........,"1,230","1,230",..........,"1,166","1,166",..........,"1,252","1,252",..........,"1,178","1,178",..........,"1,109","1,109",..........,"1,044","1,044",..........,967,967,..........,895,895,..........
All other payments for individuals,Payments to Japanese American WWII internees,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,499,499,..........,500,500,..........,500,500,..........,87,87,..........,10,10,..........,6,6,..........,7,7,..........,35,35,..........,6,6,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
All other payments for individuals,Aging services programs,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,567,..........,567,859,..........,859,952,1,951,818,..........,818,828,..........,828,830,..........,830,879,..........,879,885,1,884,952,4,948,"1,105",..........,"1,105","1,309",..........,"1,309","1,342",22,"1,320","1,401",22,"1,379","1,379",21,"1,358","1,359",20,"1,339","1,398",15,"1,383","1,453",18,"1,435","1,513",40,"1,473","1,555",42,"1,513","1,465",-19,"1,484","1,440",22,"1,418","1,462",35,"1,427","1,671",29,"1,642","1,879",28,"1,851","2,064",32,"2,032","2,123",38,"2,085","2,159",39,"2,120","2,185",40,"2,145"
All other payments for individuals,Energy employees compensation fund,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,347,347,..........,321,321,..........,274,274,..........,615,615,..........,863,863,..........,954,954,..........,"1,068","1,068",..........,"1,035","1,035",..........,"1,074","1,074",..........,"1,249","1,249",..........,"1,163","1,163",..........,"1,245","1,245",..........,"1,052","1,052",..........,"1,248","1,248",..........,"1,200","1,200",..........,"1,159","1,159",..........,"1,123","1,123",..........,"1,086","1,086",..........,"1,049","1,049",..........
All other payments for individuals,September 11th victim compensation,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,20,20,..........,709,709,..........,"6,309","6,309",..........,12,12,..........,1,1,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,6,6,..........,8,8,..........,49,49,..........,364,364,..........,402,402,..........,"1,910","1,910",..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
All other payments for individuals,Refugee assistance and other,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,29,..........,29,358,..........,358,42,..........,42,5,..........,5,2,..........,2,1,..........,1,1,..........,1,*,..........,*,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,242,242,..........,-51,-51,..........,92,92,..........,46,46,..........,267,267,..........,322,322,..........,282,282,..........,238,238,..........,157,157,..........,-47,-47,..........,-160,-160,..........,-239,-239,..........,90,90,..........,143,143,..........,106,106,..........,-4,-4,..........,75,75,..........,221,166,56,316,184,132,363,24,338,911,270,641,"1,181",304,878,680,176,504,988,403,585,757,337,420,652,230,422,827,453,374,"1,552","1,240",312,"1,368",997,370,"1,088",697,391,497,269,228,"1,509","1,205",304,"1,986","1,660",327,827,495,333,963,617,346,631,312,319,"1,139",862,277,"1,608","1,314",294,"-1,511","-1,747",236,"2,429","2,149",280,"1,871","1,526",345,"2,418","2,056",362,"2,859","2,507",352,"1,663","1,238",425,"4,964","4,545",419,"1,400",975,425,"1,476","1,087",389,"4,680","4,209",471,"2,123","1,529",594,"2,755","2,184",571,"3,147","2,515",632,"3,387","2,754",633,"3,399","3,111",288,"4,403","3,729",674,"3,133","2,321",812,"2,763","1,904",859,"2,855","1,928",927,"2,908","1,995",913,"2,983","2,068",915,"3,064","2,138",926
